tier,sample,dino_pf,dino_flat,video,action,total_pf,total_flat
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000000__t0001,0.1086533936390042,0.10913835512142434,0.06634802504579274,0.8857904076576233,0.40681658866848847,0.40696207711321447
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000001__t0024,0.09379054285891064,0.09386927918692545,0.07180360727982349,0.7627816200256348,0.35479089305187417,0.35481451395027863
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000002__t0006,0.2264647967246067,0.22703685914871374,0.11045859727700058,0.9115822315216064,0.4657099108091248,0.4658815295363569
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000003__t0002,0.23186254068719503,0.23286831783126571,0.07822821239102506,0.8880436420440674,0.44824468274109297,0.4485464158843142
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000004__t0016,0.10650794050964714,0.10694394628626336,0.09768170175976698,0.5999191403388977,0.30122454881638333,0.3013553505493682
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000005__t0030,0.13638823641804967,0.13644695279675378,0.0710414613832484,0.8159530162811279,0.3886101158528406,0.38862773076645185
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000006__t0032,0.16361161196804208,0.16451805743597336,0.08020501746762165,0.8496050238609314,0.4129869983750717,0.4132589320154511
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000007__t0015,0.21877833448745182,0.21879812332107262,0.12483550766231966,0.6500580310821533,0.3631073650777928,0.36311330172787903
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000008__t0012,0.10902337832996767,0.1090318012953474,0.07793788894576337,0.6101799607276917,0.300160364473796,0.3001628913634099
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000009__t0038,0.18653713580321896,0.1877729635962897,0.09059431896114833,0.7460885047912598,0.38157483834581407,0.38194558668373535
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000010__t0030,0.11247231717515307,0.11194325115395676,0.08013983229904309,0.7458464503288269,0.3561222249737896,0.3559635051674307
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000011__t0045,0.09604167416389389,0.09598949114666155,0.0762086097557707,0.6751315593719482,0.32172770892467867,0.321712054019509
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000012__t0018,0.09541307327016779,0.09578709168267552,0.05787630737241556,0.4860621988773346,0.24041169374370885,0.24052389926746118
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000013__t0013,0.15410723005488214,0.15403844836128244,0.060216668932874584,0.9403507113456726,0.4404374542345961,0.4404168197265162
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000014__t0016,0.11762834200425673,0.11766619946530887,0.07256127409227042,0.6670597195625305,0.32388077265397036,0.323892129892286
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000015__t0004,0.25983470254201285,0.26077447614346994,0.09798231039059668,0.39430510997772217,0.2650671478708717,0.26534907995130885
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000016__t0018,0.09593794236988026,0.0959226890473408,0.0753456622355394,0.54018235206604,0.26745802220804193,0.2674534462112801
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000017__t0004,0.21664592763842666,0.21680481701903875,0.12939585582316693,1.0482046604156494,0.5230943992047379,0.5231420660189214
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000018__t0006,0.2157807250688386,0.21755239329886367,0.07753579055576643,0.5394652485847473,0.3037810541212804,0.30431255459028794
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000019__t0079,0.0817266088850168,0.0815745142824783,0.09341577652300426,0.3673778772354126,0.19949386651657136,0.1994482381358098
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000020__t0064,0.1690336826488154,0.16758289540101523,0.1018918449490932,0.6698267459869385,0.34920835667414796,0.3487731204998079
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000021__t0008,0.1454853349729808,0.14666305306952232,0.12985936739978798,0.6206695437431335,0.3308712282090841,0.33122454363804654
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000022__t0022,0.08893296370264184,0.08898501556933269,0.09652155301239407,0.6218757629394531,0.30438666019029204,0.30440227575029927
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000023__t0051,0.22087516008569769,0.220763756284294,0.09410748177236905,0.7036558985710144,0.3759571519858258,0.37592373084540465
