sample_id,band,dataset,uploader,pitch_med,motion_deg,input_sharpness,n_gen_frames,gen_f0,gen_flast,gen_ratio,gen_mean,gt_f0,gt_flast,gt_ratio,gt_mean,gen_mae,gt_floor_mae,mae_above_floor
vp_00000,top_down,Gano007/so100_medic,Gano007,0.8959026192794446,405.27598571777344,69.85501001040143,16,277.5995528505742,168.1363844787702,0.6056795940470001,204.1544050036324,69.85501001040143,102.52842000829908,1.467731806087564,68.29407519712183,1.2667514085769653,1.2971038818359375,-0.030352473258972168
vp_00001,top_down,Gano007/so100_medic,Gano007,0.8959026192794446,367.8790893554688,85.10191750382319,16,300.0457714504003,240.62218344952913,0.8019515898710265,212.18686895857564,85.10191750382319,84.89720091797513,0.9975944538871705,84.99709705799552,1.0263127088546753,1.1013177633285522,-0.07500505447387695
vp_00002,top_down,Gano007/so100_medic,Gano007,0.8959026192794446,325.17623138427734,84.8521970280965,16,297.3704661532864,202.64248414304103,0.6814479149987374,201.716019321254,84.8521970280965,85.09478868204752,1.0028589908269296,84.98633801788822,1.5747932195663452,1.6601648330688477,-0.08537161350250244
vp_00003,top_down,Gano007/so100_medic,Gano007,0.8959026192794446,543.596923828125,85.12693635622661,16,299.0017004428804,200.8772063344717,0.6718263007744143,206.6324263439677,85.12693635622661,84.87862999657528,0.9970831046989718,84.98799007841814,1.3015490770339966,1.369843602180481,-0.06829452514648438
vp_00004,top_down,frk2/so100large,frk2,3.465875387345722,199.99171447753903,390.6342816119724,16,386.29854918479924,242.37610359545798,0.6274320835693369,244.06978519189173,390.6342816119724,470.6841609725846,1.2049228220039403,447.61767485954164,1.1829558610916138,1.1208767890930176,0.06207907199859619
vp_00005,top_down,frk2/so100large,frk2,3.465875387345722,401.1863403320313,480.1378879311456,16,452.2849058672414,261.6221673391759,0.5784454973949343,272.9810096470313,480.1378879311456,521.9843751623789,1.0871551449739938,566.6918225171446,1.0047297477722168,0.9943296313285828,0.010400116443634033
vp_00006,top_down,frk2/so100large,frk2,3.465875387345722,325.1776123046875,645.5907208485497,16,586.401183490604,259.69982503857466,0.4428705677097137,291.91915346985917,645.5907208485497,565.1992954643144,0.875476175866583,562.3894145406664,1.2820531129837036,1.483239769935608,-0.2011866569519043
vp_00007,top_down,frk2/so100large,frk2,3.465875387345722,357.3436889648437,589.4498774589432,16,553.7725399610028,322.54053188767284,0.5824422639479451,308.0225770013593,589.4498774589432,566.2469842773436,0.9606363593074521,528.5133898524999,1.0118333101272583,1.053388237953186,-0.041554927825927734
vp_00008,top_down,lirislab/close_top_drawer_teabox,lirislab,4.049297484095448,363.6913757324219,53.69175649379093,16,135.11943958386775,81.01280610784889,0.5995644028479352,98.37006442286773,53.69175649379093,27.65365618383619,0.5150447291944918,28.998289339762923,1.5164786577224731,1.4692206382751465,0.04725801944732666
vp_00009,top_down,lirislab/close_top_drawer_teabox,lirislab,4.049297484095448,352.96875,28.124714319006603,16,99.12311434414237,77.99888959512116,0.7868890128243189,82.39745789511593,28.124714319006603,20.61608550682068,0.7330238192732633,25.530094628998967,1.2818244695663452,1.3317325115203857,-0.04990804195404053
vp_00010,top_down,lirislab/close_top_drawer_teabox,lirislab,4.049297484095448,381.357421875,36.501367675770666,16,110.33789419591429,76.24177749421446,0.6909845257527729,96.72177876103669,36.501367675770666,29.174411525980638,0.7992689968312373,39.06207814623317,1.394580364227295,1.3535447120666504,0.04103565216064453
vp_00011,top_down,lirislab/close_top_drawer_teabox,lirislab,4.049297484095448,342.9491996765137,29.79718214644326,16,106.77245805501937,88.57166457995773,0.8295366257606208,97.93826408600435,29.79718214644326,19.55354327731662,0.6562212218780026,26.34738814263675,1.7412086725234985,1.6672148704528809,0.07399380207061768
vp_00012,top_down,samsam0510/cube_reorientation_2,samsam0510,5.555330926088512,498.955078125,209.2125445128971,16,331.3560180233419,194.14224491115655,0.5859022753493331,237.29936295171268,209.2125445128971,164.44210932714677,0.786005015661112,162.77419078268872,1.1102715730667114,1.184505820274353,-0.0742342472076416
vp_00013,top_down,samsam0510/cube_reorientation_2,samsam0510,5.555330926088512,293.5546875,205.2579215977033,16,336.63752439260486,156.9955858274922,0.46636389128126166,182.80991126954788,205.2579215977033,164.7250813206037,0.8025272790331339,176.85960951718226,1.1891682147979736,1.2077840566635132,-0.01861584186553955
vp_00014,top_down,samsam0510/cube_reorientation_2,samsam0510,5.555330926088512,397.08984375,243.10407564273405,16,389.79411001052705,203.11965939249848,0.5210947373896743,254.2810537629644,243.10407564273405,210.57752045566772,0.866203167915072,204.55584416165618,1.1006157398223877,1.0191243886947632,0.08149135112762451
vp_00015,top_down,samsam0510/cube_reorientation_2,samsam0510,5.555330926088512,334.3359375,221.4885214894506,16,361.5231130480393,176.58302610334007,0.4884418719845091,211.4734320691088,221.4885214894506,158.62854969913695,0.7161930949364173,173.05089164964556,1.1897529363632202,1.221946358680725,-0.03219342231750488
vp_00016,top_down,sihyun77/mond_1,sihyun77,6.264782041675998,448.8766479492188,149.915856207784,16,361.70969203948977,147.67465901192276,0.4082684602086694,179.2220957738836,149.915856207784,58.539425605254706,0.3904818815411249,77.56146747276915,1.2175259590148926,1.237696886062622,-0.020170927047729492
vp_00017,top_down,sihyun77/mond_1,sihyun77,6.264782041675998,541.2066650390625,127.89753685913082,16,352.64793043252087,153.41585545983168,0.4350397158753573,170.28461680840934,127.89753685913082,54.491484637694896,0.42605577851969867,67.37970021102427,1.0497736930847168,1.1133414506912231,-0.06356775760650635
vp_00018,top_down,sihyun77/mond_1,sihyun77,6.264782041675998,617.234375,137.67582986745833,16,352.0945615109429,145.32752682626244,0.4127514103092245,149.43462360296166,137.67582986745833,50.603752809895404,0.3675572746374182,73.83536939600508,1.335969090461731,1.3478689193725586,-0.011899828910827637
vp_00019,top_down,sihyun77/mond_1,sihyun77,6.264782041675998,511.9884033203125,64.6345799252722,16,254.36287788152694,122.87328857421872,0.48306297521513974,135.91807504575468,64.6345799252722,77.9434282904307,1.205909102826068,67.37739003251129,1.0533632040023804,1.033619999885559,0.01974320411682129
vp_00020,top_down,sihyun77/suho_3_17_1,sihyun77,6.579851110912539,526.3997802734375,281.85524452818765,16,274.9467918390036,171.37179866790774,0.6232907739022903,144.93994354097174,281.85524452818765,264.33046594221327,0.9378234787993821,265.180084774975,1.3026930093765259,1.385561466217041,-0.08286845684051514
vp_00021,top_down,sihyun77/suho_3_17_1,sihyun77,6.579851110912539,534.389404296875,333.3039816019694,16,343.4846234899386,120.18906859006731,0.3499110596816512,143.5719974741456,333.3039816019694,244.61478442246124,0.7339089777626646,276.10813900360404,1.5121434926986694,1.548661231994629,-0.03651773929595947
vp_00022,top_down,sihyun77/suho_3_17_1,sihyun77,6.579851110912539,477.4671630859375,235.4145481478268,16,240.39175073023884,144.1070555017889,0.5994675568668015,131.62835510766834,235.41454814782676,238.5102027996381,1.0131498018077214,252.02007085973358,1.6931356191635132,1.6015194654464722,0.09161615371704102
vp_00023,top_down,sihyun77/suho_3_17_1,sihyun77,6.579851110912539,425.3725082874298,268.9561094868554,16,255.9056053873523,136.60548452284186,0.5338120058587023,154.57998404909856,268.9561094868554,262.46488554619685,0.9758651180892709,266.3096182714873,1.6199289560317993,1.517812728881836,0.10211622714996338
vp_00024,top_down,shreyasgite/so100_legocube_50,shreyasgite,7.540616384920003,344.4587707519531,511.2728561337682,16,377.6613284820319,260.8868709113821,0.6907958301139737,260.16153353649656,511.27285613376824,1229.165306976276,2.404127839425678,246.46488759994438,1.2767008543014526,1.2464487552642822,0.03025209903717041
vp_00025,top_down,shreyasgite/so100_legocube_50,shreyasgite,7.540616384920003,321.9830627441406,686.4799323201074,16,429.509872815609,239.8358973449469,0.5583943758316153,259.01611985232915,686.4799323201074,132.49940100351967,0.19301278124113005,276.22102301202483,1.444637417793274,1.4625133275985718,-0.01787590980529785
vp_00026,top_down,shreyasgite/so100_legocube_50,shreyasgite,7.540616384920003,358.01513671875,675.6285454854328,16,440.2661554050072,275.1054891556129,0.6248617700397944,269.03585070537173,675.6285454854328,99.85060212579305,0.14778919983894928,244.53257808817426,1.4102987051010132,1.3172260522842407,0.09307265281677246
vp_00027,top_down,shreyasgite/so100_legocube_50,shreyasgite,7.540616384920003,352.2254638671875,1937.0912237847228,16,547.7255662104114,180.42147827114906,0.3294012355842997,239.63372981457735,1937.0912237847228,111.61773697322208,0.05762131158443006,1072.188457535706,1.3101764917373657,1.3624353408813477,-0.052258849143981934
vp_00028,top_down,tkc79/so100_lego_box_1,tkc79,7.575168414459993,369.6251525878906,106.60074581057228,16,288.00365875661373,116.28478458490227,0.4037614837482621,135.22063448912928,106.60074581057229,35.79663595808877,0.3358009898107372,117.16940780162878,1.098256230354309,1.1374562978744507,-0.0392000675201416
vp_00029,top_down,tkc79/so100_lego_box_1,tkc79,7.575168414459993,429.1942138671875,108.15791101985506,16,275.7331287549436,141.07415541317314,0.5116329548417827,172.17868730418616,108.15791101985506,114.876861924235,1.0621216778316325,120.39864848415124,1.2480366230010986,1.1724021434783936,0.07563447952270508
vp_00030,top_down,tkc79/so100_lego_box_1,tkc79,7.575168414459993,381.54681396484375,140.38997390030758,16,355.43026730682703,156.655444085449,0.4407487445343945,177.20274162034968,140.38997390030758,75.35496088850233,0.5367545758037959,96.68604236668614,1.2153565883636475,1.145211935043335,0.0701446533203125
