sample_id,setup,mae,sharp_f0,sharp_f15,sharp_ratio,sharp_mean
sample_000000,A,0.2844181358814239,219.7897030606493,103.34144834544512,0.4701833020672894,167.99033027283613
sample_000001,A,0.5446584224700928,231.66976690258826,185.04037809237838,0.7987247562181194,220.55789692896883
sample_000002,A,0.6566931009292603,295.7382747834921,174.99738161504268,0.5917305825333465,208.47295364513528
sample_000003,A,0.697190523147583,317.35370669480415,225.84884877189998,0.7116628670390686,225.83467781996123
sample_000004,A,0.5006735920906067,195.85373974427583,184.93719645723695,0.9442617572618603,154.7273885605298
sample_000005,A,0.5159187316894531,234.95762218236922,139.26247300729156,0.5927131527539844,153.41045540464341
sample_000006,A,0.3362152576446533,226.89025676812972,136.13909070607275,0.6000217578545031,164.88104012762196
sample_000007,A,0.3699686527252197,224.1322225540504,276.3543734848127,1.2329970690321812,185.32617890798954
sample_000008,A,0.0826885476708412,272.27173626121134,171.4717352848873,0.6297816205218643,187.68221018939278
sample_000009,A,0.5773367285728455,274.1707160292566,152.97156694516536,0.5579427634016241,180.05275141488994
sample_000010,A,0.49659463763237,245.0800514092669,174.31422223806376,0.7112542258568852,180.4300892990781
sample_000011,A,0.5497299432754517,190.62830106016244,124.54987534131854,0.6533650808859199,154.57153210002696
sample_000012,A,0.2378157824277877,289.489980550073,222.22686877712613,0.7676496034676668,202.20858047821793
sample_000013,A,0.2111413329839706,237.36029007658362,145.83347572591157,0.6143971077843678,164.56089622927595
sample_000014,A,0.7103989720344543,261.36641473039987,174.1796046064794,0.6664192290587377,169.18559909266423
sample_000015,A,0.6287329792976379,409.61602010127154,209.75451548680667,0.512075956977825,251.06985978773798
sample_000016,A,0.4618141651153564,211.5263539785147,132.8522063743696,0.6280645596901072,160.55604880649133
sample_000017,A,0.6688818335533142,279.6912743007764,175.45679300393908,0.6273230848641174,215.75364670992596
sample_000018,A,0.2762335240840912,244.34249761994926,143.3761832332611,0.586783652577165,149.0251303944015
sample_000019,A,0.4739260971546173,207.87737270202487,202.654930283688,0.9748772925573636,175.7816040025349
sample_000020,A,0.6917969584465027,383.43235084977005,293.52221114024525,0.7655123791452019,306.88085622742534
sample_000021,A,0.3945534229278564,367.7757274316251,176.11475665792824,0.4788645457595364,219.0751744724321
sample_000022,A,0.217973306775093,229.45564538683743,151.0587883737311,0.6583354622592191,206.2233023974835
sample_000023,A,0.5199323296546936,229.11277740895747,144.34610388543462,0.6300220595195456,167.03989246303914
sample_000024,A,0.6297681927680969,198.92511813934897,156.9535766386986,0.7890083369398886,153.18764650199796
sample_000025,A,0.4015357196331024,415.41011742338543,291.90419150352477,0.7026891721224412,309.0452040409343
sample_000026,A,0.2148682624101638,246.78010249599805,138.29085559692234,0.560380898614648,174.80856047320412
sample_000027,A,0.5628086924552917,218.61114838715645,225.74690807309003,1.0326413348019026,229.98126467455415
sample_000028,A,0.3774685561656952,251.42904080018397,195.0950752099976,0.7759448733093797,202.5114551608404
sample_000029,A,0.8748412132263184,252.9744445716962,184.17979477610442,0.7280569192984452,201.02626147433182
sample_000030,A,0.627932071685791,191.5176891830191,202.98252563443035,1.0598630680033696,179.2303182250727
sample_000031,A,0.9023210406303406,196.169751384817,189.1931761442125,0.9644360295542257,175.70192359607202
sample_000032,A,0.7152522206306458,288.606312806867,197.08094267845155,0.6828712122119676,205.41587612234053
sample_000033,A,0.8680238723754883,204.33048541784285,161.14578999247402,0.7886527047735492,190.40089895875428
sample_000034,A,0.2426739484071731,219.9745053952932,124.67442452456802,0.5667676092760324,180.565826417841
sample_000035,A,0.4982803761959076,224.53758949697016,240.63299234151845,1.0716824424837137,209.21035291988403
sample_000036,A,0.4975852966308594,305.34142447110264,176.45951708402484,0.577908868374736,214.90564851783213
sample_000037,A,0.6745068430900574,339.4016269432009,204.66876193746924,0.6030282287707499,239.50643204792402
sample_000038,A,0.4828974306583404,276.7455668769777,217.5876374810561,0.7862371200250546,206.57032345858636
sample_000039,A,0.6898838877677917,216.79412188794467,167.0815767520666,0.7706923753146167,173.3280920167989
sample_000040,A,0.6518777012825012,207.01765847429633,111.50108513351533,0.5386066384639333,148.99912568457427
sample_000041,A,0.510980486869812,224.5921544056758,145.30392390355468,0.6469679419036848,167.96592400706373
sample_000042,A,0.7413149476051331,230.05945624351503,214.44737441167234,0.9321389257943934,174.48012113558593
sample_000043,A,0.3323860466480255,191.98646801318972,126.64173805680127,0.659638876465506,149.38504915888188
sample_000044,A,0.4354577958583832,322.1063835247978,170.73796142578126,0.5300669907792646,206.4229324931931
sample_000045,A,0.3576293885707855,300.0897825716436,204.0646277045831,0.680011914953701,237.04262313330545
sample_000046,A,0.2657018899917602,232.7745505958423,201.2913990056142,0.8647483089983874,165.63063785533888
sample_000047,A,0.4784798622131347,209.8773471736908,143.35795068129897,0.683055854344578,174.49578344092006
sample_000048,A,0.6809975504875183,212.14878546144814,129.5092890524864,0.6104644378273895,161.82070401540955
sample_000049,A,0.7000043988227844,222.5720961259305,136.27281062003226,0.6122636799130903,159.19369497385807
sample_000050,A,0.5342669486999512,220.39043470170355,140.28280040170995,0.6365194596198399,157.5199864682043
sample_000051,A,0.3393361568450928,288.4619652506337,138.8361083126068,0.48129779671984607,164.42888191756327
sample_000052,A,0.4724854528903961,252.27678206428885,149.4078466413915,0.5922378009535464,164.57379620108986
sample_000053,A,0.6425809860229492,215.2383784717321,229.63140894830227,1.0668701863430015,208.18845678759274
sample_000054,A,0.4394573271274566,273.457296757549,185.64193757083268,0.6788699360815571,188.93274640111719
sample_000055,A,0.6224971413612366,241.6977017089352,149.55768991693856,0.6187799422976873,186.01445482170675
sample_000056,A,0.4745445251464844,285.6351481929049,171.07733742654324,0.5989365752390018,199.40759042965948
sample_000057,A,0.6561532616615295,303.17642863240087,132.0944562628493,0.4357016040419581,162.13079791307916
sample_000058,A,0.369011253118515,326.6696145175397,148.29688224550335,0.45396595108646365,206.05842882201074
sample_000059,A,0.4920216500759125,220.89941276893018,120.71114055808633,0.546452971716838,135.41634550656426
sample_000060,A,0.5508546233177185,326.904583313726,170.6237462280691,0.5219374549555451,210.13297296364792
sample_000061,A,0.2638339698314667,301.41000737413765,220.50201658572996,0.7315683328059599,193.83153792504456
sample_000062,A,0.4093703925609588,424.7163695500791,222.55893407329918,0.524017791706653,224.2792374562938
sample_000063,A,0.1847507506608963,283.79645914431677,231.6836873859167,0.8163727203802089,217.17598147391573
sample_000064,A,0.3525806963443756,359.3556457489356,169.06455686833712,0.4704658431509779,216.84025156429038
sample_000065,A,0.3369148671627044,370.8000260776282,243.92868704795836,0.6578443093121333,216.08425446351524
sample_000066,A,0.3712216317653656,295.7733176416158,135.210726069808,0.45714308223583866,181.60073179507629
sample_000067,A,0.2908310294151306,365.85595462784175,177.1896174651012,0.4843152481837917,188.59208714051405
sample_000068,A,0.3933729231357574,204.78549779638647,157.4297490015253,0.7687543829790823,184.04462525416633
sample_000069,A,0.6347256302833557,286.45640706956385,210.83092569526283,0.735996544298149,201.0656449078815
sample_000070,A,0.2892381548881531,266.47734101828183,146.83013459429145,0.5510042018327482,200.03508808703862
sample_000071,A,0.7050325870513916,240.38815170288086,188.46080078125004,0.783985397974968,179.83756017100998
