tier,sample,dino_pf,dino_flat,video,action,total_pf,total_flat
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000000__t0001,0.5645124778201681,0.5660224342251975,0.27758031337216216,0.5780855417251587,0.4838620540477626,0.48431504096927136
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000001__t0024,0.638403766604859,0.6371646744820536,0.22840294401313677,0.5692264437675476,0.48773259069241776,0.48736086305557613
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000002__t0006,0.6162849479737951,0.6162274080015495,0.2757081928990667,0.8281907439231873,0.5988742398311334,0.5988569778394597
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000003__t0002,0.588705044469896,0.5886737532391745,0.20307548433664135,0.7118092179298401,0.5222578458138972,0.5222484584446807
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000004__t0016,0.6255505648342434,0.6262635491154409,0.22574166931108064,0.501447319984436,0.4559665982373716,0.45618049352173085
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000005__t0030,0.5829079026814608,0.5827930482303645,0.2802506611514577,0.7163944840431213,0.545505362767124,0.5454709064317952
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000006__t0032,0.6575262092027729,0.6584747053154227,0.20632338326980204,0.7444684505462646,0.5569422579602783,0.5572268067940733
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000007__t0015,0.6016552367923669,0.5989865705397874,0.2914064818291756,0.5677207708358765,0.4950068239208133,0.49420622404503944
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000008__t0012,0.6468375775329454,0.6446956738465708,0.2653971937958711,0.5255029797554016,0.4838716233008056,0.4832290521948932
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000009__t0038,0.5219976295973687,0.5253524381124468,0.30100362483700627,0.6473339200019836,0.505833944331106,0.5068403868856294
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000010__t0030,0.6332297759801465,0.633882498506249,0.25277338148961703,0.643908679485321,0.5233644190350575,0.5235602357928882
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000011__t0045,0.6463936896129072,0.6426443248345148,0.24711106125132698,0.6308878064155579,0.5204065478254933,0.5192817383919757
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000012__t0018,0.6153914390306503,0.6160096076605102,0.25982519490855926,0.4051693379878998,0.4246327253769228,0.42481817596588073
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000013__t0013,0.5216319262607502,0.5207905462461594,0.2519860754423644,0.7881696224212646,0.5473532494794402,0.547100835475063
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000014__t0016,0.6212132381261031,0.618689187436294,0.22763609536250584,0.5342231392860413,0.46834405576099924,0.4675868405540564
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000015__t0004,0.7081666207264381,0.7101288516702016,0.23299711420089808,0.35951995849609375,0.4261571038766383,0.42674577315976736
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000016__t0018,0.6028326116498643,0.6012770111791919,0.3064363375408399,0.5583747029304504,0.4961305659293915,0.4956638857881897
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000017__t0004,0.6537739127591334,0.6538397932303885,0.28768548935174576,0.8552184700965881,0.6245252086718991,0.6245449728132755
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000018__t0006,0.6263288903987206,0.6265909649512091,0.17754261184113385,0.4808168113231659,0.43348817520122274,0.43356679756696925
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000019__t0079,0.6643127465869345,0.6625164990502148,0.2443176790312921,0.39307665824890137,0.42981979098502854,0.4292809167240126
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000020__t0064,0.5434587690003532,0.543057483048689,0.24061435992234947,0.5636882185935974,0.4606972261142498,0.46057684032875046
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000021__t0008,0.5972659578644806,0.5995044352726763,0.2779455449238495,0.4974419176578522,0.4615402178996399,0.4622117611220986
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000022__t0022,0.6423737258202977,0.6402365504346378,0.23263338539897038,0.5505381226539612,0.48271738242736495,0.482076229811667
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000023__t0051,0.6401289660160883,0.6366586971389787,0.2959438549847383,0.5960372686386108,0.5192367537556923,0.5181956730925594
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000024__t0019,0.6109127136513441,0.6086223257996473,0.251038302873426,0.7315077781677246,0.5511884162245209,0.5505012998690118
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000025__t0004,0.6299516033594748,0.630006220175408,0.23748174191846438,0.668511152267456,0.5276344644903642,0.5276508495351442
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000026__t0004,0.5949754674947069,0.5906634879311103,0.25755466086907963,0.6566094756126404,0.5184028287541922,0.5171092348851132
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000027__t0006,0.6616729370704554,0.6600012333532431,0.2468072477767952,0.47624120116233826,0.46304053591911043,0.4625390248039468
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000028__t0011,0.6096610350051881,0.6087050871684163,0.2732001498859121,0.6363502144813538,0.5193984412598716,0.5191116569088401
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000029__t0002,0.5946541132804656,0.5941701681550886,0.2978455973036057,0.7616784572601318,0.5724212960792742,0.5722761125416611
unseen_cousin,unseen_cousin__frk2__so100large__ep000000__t0043,0.41843643496576766,0.4185090657017544,0.15653571753295958,1.0623173713684082,0.5974185942969814,0.5974403835177775
unseen_cousin,unseen_cousin__frk2__so100large__ep000001__t0021,0.3830623942250293,0.3831493147423942,0.14920813579095193,1.2874459028244019,0.6746595201345551,0.6746855962897647
unseen_cousin,unseen_cousin__frk2__so100large__ep000002__t0030,0.5910428015778189,0.5917833674029652,0.18900261426472198,1.3912075757980347,0.7904966550719761,0.79071882481952
unseen_cousin,unseen_cousin__frk2__so100large__ep000003__t0035,0.5038952074118682,0.5036105825630537,0.1963450686462116,1.0668355226516724,0.6368062918780929,0.6367209044234485
unseen_cousin,unseen_cousin__frk2__so100large__ep000004__t0006,0.4356737391072275,0.43591182861932587,0.17569964097719248,0.9773063063621521,0.5743345365701868,0.5744059634238163
unseen_cousin,unseen_cousin__frk2__so100large__ep000005__t0022,0.4133613171096498,0.4137242221543824,0.12432762658731289,1.0300592184066772,0.5733303704717597,0.5734392419851795
unseen_cousin,unseen_cousin__frk2__so100large__ep000006__t0027,0.5253242198988268,0.5244981267130444,0.14127945199363245,0.9626946449279785,0.5850589595389292,0.5848111315831945
unseen_cousin,unseen_cousin__frk2__so100large__ep000007__t0020,0.5754178039833016,0.5736187075694779,0.19587500620958043,0.9396641254425049,0.6072534932348665,0.6067137643107194
unseen_cousin,unseen_cousin__frk2__so100large__ep000008__t0039,0.6838819670157067,0.6834460883160157,0.19682488988588487,1.265637755393982,0.7704671592280703,0.770336395618163
unseen_cousin,unseen_cousin__frk2__so100large__ep000009__t0040,0.7179328108164006,0.7182447254502462,0.20599489045754238,1.3135589361190796,0.8026018848298148,0.8026954592199684
unseen_cousin,unseen_cousin__frk2__so100large__ep000010__t0013,0.4961684201804337,0.49672769881984014,0.16016255259950707,1.0732216835021973,0.6261879652348612,0.6263557488266831
unseen_cousin,unseen_cousin__frk2__so100large__ep000011__t0035,0.6645884009935266,0.6610028889227203,0.1743604548621579,1.137097954750061,0.7065238386567297,0.7054481850354879
unseen_cousin,unseen_cousin__frk2__so100large__ep000012__t0030,0.4891370636695007,0.48343429273093164,0.14407460587761722,1.1160697937011719,0.6363914183446042,0.6346805870630334
unseen_cousin,unseen_cousin__frk2__so100large__ep000013__t0028,0.697504281912954,0.6944726405457878,0.22243220793954332,1.2660754919052124,0.7824111437178343,0.7815016513076843
unseen_cousin,unseen_cousin__frk2__so100large__ep000014__t0033,0.613151352821107,0.6138227932563698,0.20233244113613524,1.3997761011123657,0.804555578632119,0.8047570107626978
unseen_cousin,unseen_cousin__frk2__so100large__ep000015__t0016,0.33222947510060796,0.33164980034957914,0.15530864957918022,0.9928882122039795,0.5434167222855283,0.5432428198602196
unseen_cousin,unseen_cousin__frk2__so100large__ep000016__t0003,0.3482101433062595,0.3480344800327978,0.127194037752549,1.1715039014816284,0.611222814910294,0.6111701159282554
unseen_cousin,unseen_cousin__frk2__so100large__ep000017__t0035,0.6064957071667808,0.6024509148077812,0.16862351043084012,1.1867852210998535,0.7072498537192278,0.7060364160115278
unseen_cousin,unseen_cousin__frk2__so100large__ep000018__t0000,0.3672971872117651,0.3681981894517996,0.11782421591064152,1.0924420356750488,0.5825132352067415,0.5827835358787519
unseen_cousin,unseen_cousin__frk2__so100large__ep000019__t0005,0.512276109558482,0.5111865467040184,0.20661014518645626,0.8930999636650085,0.5729058618894849,0.5725789930331459
unseen_cousin,unseen_cousin__frk2__so100large__ep000020__t0025,0.5408852030077855,0.5359929228854187,0.13903918986777064,1.3116941452026367,0.7286549759437215,0.7271872919070115
unseen_cousin,unseen_cousin__frk2__so100large__ep000021__t0042,0.5188231213049258,0.5128026393611048,0.21770514895977888,1.3663285970687866,0.767489919906926,0.7656837753237797
unseen_cousin,unseen_cousin__frk2__so100large__ep000022__t0040,0.29676427820508233,0.29621920853498174,0.19152581956623327,1.4131146669387817,0.7117328961069074,0.7115693752058772
