tier,sample,dino_pf,dino_flat,video,action,total_pf,total_flat,seed
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000000__t0001,0.552321507821568,0.5535496175873872,0.2838883573804702,0.6868274211883545,0.5255939280359532,0.5259623609656989,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000001__t0024,0.6141535552425994,0.612703695244759,0.2874589334394573,0.6520830988883972,0.5313169861599759,0.5308820281606238,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000002__t0006,0.6143997658970272,0.6157352734966579,0.2886927982916619,0.8189661502838135,0.5985142293701322,0.5989148816500214,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000003__t0002,0.6164131602103572,0.6161727747010232,0.209359798018095,0.8202373385429382,0.575826822885711,0.5757547072329108,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000004__t0016,0.6108166986960262,0.6108668089314817,0.2465648262259154,0.5189924836158752,0.4648114509229326,0.4648264839935693,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000005__t0030,0.6061872949294373,0.6068386432208264,0.2940017743456983,0.7675089836120605,0.5770603142273649,0.5772557187147817,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000006__t0032,0.6614609649583381,0.663082397580793,0.2499111605043296,0.7091069221496582,0.5570544064986636,0.5575408362854001,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000007__t0015,0.6290026042982838,0.6277011052750078,0.3129253352020471,0.4469222128391266,0.4613472669857499,0.4609568172787671,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000008__t0012,0.6523097456521484,0.6497480197242514,0.2468145291179735,0.4677676856517792,0.4568443566917483,0.4560758389133792,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000009__t0038,0.5299659927687792,0.53250686157017,0.3539490721848658,0.6982979774475098,0.5444937104650974,0.5452559711055147,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000010__t0030,0.6501523250658328,0.6509761178414051,0.2616694917271907,0.6192089915275574,0.52123014164893,0.5214772794816016,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000011__t0045,0.6288740624038793,0.626682901920633,0.2325960848244237,0.6001672744750977,0.49850795395853,0.4978506058135561,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000012__t0018,0.5716291548251684,0.5717811734399655,0.2627460043255872,0.3791872560977936,0.4019874501843441,0.4020330557687832,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000013__t0013,0.5039547181676214,0.5035393502729096,0.2482837539052788,0.8264903426170349,0.556267678668684,0.5561430683002706,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000014__t0016,0.6204725764727514,0.6185760590721671,0.2442893288746681,0.5349577069282532,0.4734116543755272,0.4728426991553518,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000015__t0004,0.660895769934774,0.6606674878732046,0.2638657017875289,0.4957358837127685,0.4757227950017982,0.4756543103833274,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000016__t0018,0.5949986380076147,0.5938590529908789,0.3077898839512449,0.5522553324699402,0.4917386895756339,0.4913968140706133,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000017__t0004,0.6456061398332339,0.6460514005187996,0.2731598234819663,0.728794276714325,0.5671474996802901,0.5672810778859598,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000018__t0006,0.6558283788082244,0.6565018681046957,0.2655631333540799,0.4810132682323456,0.4688227609416295,0.4690248077305709,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000019__t0079,0.6623079349657146,0.6611382116573857,0.2359930098617498,0.3980996608734131,0.4287301477976045,0.4283792308051058,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000020__t0064,0.5247768019852855,0.523647734538019,0.2131384551200291,0.5887243747711182,0.4568643270400417,0.4565256068058617,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000021__t0008,0.6226093643671584,0.6256289448665913,0.2967598938636747,0.4808089733123779,0.4681343667942011,0.469040240944031,0
