tier,sample,dino_pf,dino_flat,video,action,total_pf,total_flat,crf
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000000__t0001,0.1110715880380544,0.1115649866485238,0.0649092390507113,0.8922281265258789,0.4096854987369813,0.4098335183201221,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000001__t0024,0.0892444258648423,0.0893206069694854,0.0722587385021275,0.7666555047035217,0.3551131511914996,0.3551360055228925,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000002__t0006,0.2277215955513712,0.2283152205953912,0.1117784051649547,0.9169532656669616,0.4686313064816824,0.4688093939948884,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000003__t0002,0.2351570882984228,0.2361746654742256,0.0799740661913778,0.8961747288703918,0.4530092378950969,0.4533145110478378,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000004__t0016,0.1056135282476223,0.1060454829189702,0.0947103366422476,0.6099491715431213,0.3040768280842095,0.3042064144856138,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000005__t0030,0.1375542177355819,0.1376226612211832,0.0707287496996257,0.8171780705451965,0.3893561184486409,0.3893766514943213,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000006__t0032,0.1613468633073542,0.1622526456750204,0.0811502391084996,0.8502088189125061,0.4128326582897586,0.4131043930000584,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000007__t0015,0.2244874605246022,0.2245069548445726,0.1276376835312067,0.6574028730392456,0.3685986924324409,0.3686045407284321,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000008__t0012,0.1037757433655997,0.1037916712043727,0.0786421735406717,0.6153839230537415,0.300878944293378,0.3008837226450099,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000009__t0038,0.1864080818037094,0.1877123778691727,0.0901505324887339,0.749062716960907,0.3825926710720958,0.3829839598917348,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000010__t0030,0.1113189400174459,0.1108144862938561,0.0768437529831483,0.7469508647918701,0.3552291538169264,0.3550778176998494,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000011__t0045,0.093520151259873,0.0934730677185119,0.0710033322766955,0.6771914958953857,0.3202336434191248,0.3202195183567165,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000012__t0018,0.0989166129889304,0.0992929181652183,0.0593695113866147,0.4864102900028229,0.2420499533137927,0.242162844866679,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000013__t0013,0.1558481267515024,0.1557897927298798,0.0612103102205747,0.944486916065216,0.4429122975177096,0.4428947973112228,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000014__t0016,0.1135644676475548,0.1136062244467708,0.0731229299637101,0.6703361868858337,0.324140694037713,0.3241532210774778,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000015__t0004,0.2678803647183795,0.2688382322618249,0.0991724808193725,0.4002382755279541,0.2702111638725072,0.2704985241355409,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000016__t0018,0.0973575173077941,0.097299016540968,0.0778294176405193,0.5365426540374756,0.2671731420994843,0.2671555918694365,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000017__t0004,0.2245268597002513,0.2246896065107371,0.1327022756142324,1.0456831455230713,0.5254419988035737,0.5254908228467194,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000018__t0006,0.2123390150889738,0.2140933798713513,0.0791375062469159,0.5288978219032288,0.2990020851620584,0.2995283945967717,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000019__t0079,0.0826509289108299,0.0824961990463467,0.0937213278690817,0.3678796291351318,0.2000635286880262,0.2000171097286812,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000020__t0064,0.1637494335040096,0.1623274316900239,0.1026735541923218,0.6798558235168457,0.3518692257156377,0.351442625171442,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000021__t0008,0.1489682818737947,0.1501731684263644,0.1275865435617102,0.6246728301048279,0.3328355796725827,0.3331970456383536,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000022__t0022,0.0879200615522004,0.0879705898453078,0.0979531680395917,0.6248967051506042,0.3057206509377794,0.3057358094257116,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000023__t0051,0.2202122729251766,0.2201427571678307,0.0926249762647022,0.7040824294090271,0.3754841465205745,0.3754632917933707,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000024__t0019,0.120526881665264,0.1203555131769686,0.0735428596015775,0.7894237637519836,0.3739904278808459,0.3739390173343573,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000025__t0004,0.1146803342249224,0.1150084099920858,0.0843332181222757,0.7127140164375305,0.3447896722791717,0.3448880950093206,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000026__t0004,0.3953920237908792,0.3956340479082887,0.1036820284721365,0.7328144907951355,0.4428480119969589,0.4429206192321818,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000027__t0006,0.1408565822391846,0.1410253930624013,0.0766061749091511,0.6150909066200256,0.311275189792511,0.311325833039476,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000028__t0011,0.1683537924736462,0.1683603691353193,0.1179176570716199,0.7296349406242371,0.3777354111132747,0.3777373841117766,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000029__t0002,0.1940559505328661,0.1933855334616397,0.0982641505562893,0.8659272789955139,0.4340669419249522,0.4338658168035843,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000000__t0043,0.0776203876682397,0.0776325693249553,0.0569536570024835,1.0800167322158811,0.4723789062875695,0.4723825607845842,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000001__t0021,0.1107290276349444,0.1115092817073163,0.0648055775911293,1.224578022956848,0.5424915907505614,0.542725666972273,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000002__t0030,0.3217455683752362,0.3240166385139587,0.0701027370590462,1.4736541509628296,0.7070161520154166,0.7076974730570333,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000003__t0035,0.2110977143307479,0.21137030457173,0.0806704205542162,1.0267575979232788,0.4982334796348008,0.4983152567070954,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000004__t0006,0.0981715634293606,0.0981989306020283,0.1178681107510107,1.0701812505722046,0.4928844024829933,0.4928926126347936,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000005__t0022,0.1780504814260862,0.1792327931710327,0.0754055272239543,1.3218871355056765,0.6047916567972828,0.6051463503207666,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000006__t0027,0.3596614234898251,0.3598558762028548,0.0864649723606988,1.028823971748352,0.545367507454498,0.5454258432684069,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000007__t0020,0.2431927203244757,0.2433777711276954,0.1009013166433194,1.1396840810775757,0.5591018435213688,0.5591573587623347,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000008__t0039,0.2738627434066533,0.2747173049847962,0.0717306336318026,1.3586193323135376,0.6471257460369518,0.6473821145103947,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000009__t0040,0.2398333419682374,0.2423805704310233,0.0604711971796586,1.3501582145690918,0.6301546475720056,0.6309188161108413,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000010__t0013,0.1054070952912214,0.1071410291325486,0.0577920068945078,1.1810842752456665,0.5213934407539854,0.5219136209063836,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000011__t0035,0.0276098290331217,0.0276078620498189,0.0335836090338648,1.2798992395401,0.530317727236136,0.5303171371411451,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000012__t0030,0.2013512460522362,0.2009568418311872,0.0478596995479012,1.429845929145813,0.6467016553383664,0.6465833340720517,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000013__t0028,0.2159650522172098,0.2153352288150876,0.0583607653745521,1.4148502349853516,0.6482378392716692,0.6480488922510326,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000014__t0033,0.3765472672332174,0.3790316632215212,0.0786531996985895,1.4132035970687866,0.7018415789070568,0.7025868977035479,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000015__t0016,0.0813942079824769,0.0813774096397005,0.0865904133160366,0.98209410905838,0.4432330300129061,0.4432279905100732,0
