sample_id,mae
sample_000000,0.2571159899234772
sample_000001,0.18530699610710144
sample_000002,0.6027169823646545
sample_000003,0.6536650061607361
sample_000004,0.5476559996604919
sample_000005,0.4033600091934204
sample_000006,0.15658800303936005
sample_000007,0.3238869905471802
sample_000008,0.04196399822831154
sample_000009,0.6892349720001221
sample_000010,0.1918960064649582
sample_000011,0.3619149923324585
sample_000012,0.2098969966173172
sample_000013,0.25257599353790283
sample_000014,0.4762130081653595
sample_000015,0.6845579743385315
sample_000016,0.6816520094871521
sample_000017,0.6656870245933533
sample_000018,0.22063300013542175
sample_000019,0.5009089708328247
sample_000020,0.32340800762176514
sample_000021,0.2678300142288208
sample_000022,0.5008140206336975
sample_000023,0.5745120048522949
sample_000024,0.7192670106887817
sample_000025,0.31775999069213867
sample_000026,0.5389289855957031
sample_000027,0.8706600069999695
sample_000028,0.1385290026664734
sample_000029,0.4258809983730316
sample_000030,0.7272589802742004
sample_000031,0.6902419924736023
sample_000032,0.23884199559688568
sample_000033,0.7846270203590393
sample_000034,0.4451240003108978
sample_000035,0.11180300265550613
sample_000036,0.19764499366283417
sample_000037,0.5686230063438416
sample_000038,0.5617870092391968
sample_000039,0.46159398555755615
sample_000040,0.7086960077285767
sample_000041,0.7420960068702698
sample_000042,0.39131900668144226
sample_000043,0.2692070007324219
sample_000044,0.4080660045146942
sample_000045,0.15823300182819366
sample_000046,0.33171701431274414
sample_000047,0.13172300159931183
sample_000048,0.47113698720932007
sample_000049,0.6707360148429871
sample_000050,0.2672170102596283
sample_000051,0.108024001121521
sample_000052,0.30014100670814514
sample_000053,0.44086000323295593
sample_000054,0.3560580015182495
sample_000055,0.21005399525165558
sample_000056,0.3428939878940582
sample_000057,0.7660710215568542
sample_000058,0.14395800232887268
sample_000059,0.7093709707260132
sample_000060,0.3393479883670807
sample_000061,0.20984099805355072
sample_000062,0.4311549961566925
sample_000063,0.1433970034122467
sample_000064,0.13337300717830658
sample_000065,0.4338259994983673
sample_000066,0.3505679965019226
sample_000067,0.07095900177955627
sample_000068,0.3703469932079315
sample_000069,0.5925750136375427
sample_000070,0.27118799090385437
sample_000071,0.5720000267028809
sample_000072,0.17868199944496155
sample_000073,0.3807480037212372
sample_000074,0.596036970615387
sample_000075,0.5548580288887024
sample_000076,0.7067109942436218
sample_000077,0.16728900372982025
sample_000078,0.27844399213790894
sample_000079,0.2276650071144104
sample_000080,0.0486610010266304
sample_000081,0.3191550076007843
sample_000082,0.12154199928045273
sample_000083,0.6112599968910217
sample_000084,0.7124860286712646
sample_000085,0.045051999390125275
sample_000086,0.08094199746847153
sample_000087,0.052855998277664185
sample_000088,0.17488500475883484
sample_000089,0.1069210022687912
sample_000090,0.46823498606681824
sample_000091,0.31965601444244385
sample_000092,0.4217660129070282
sample_000093,0.39017900824546814
sample_000094,0.8274700045585632
sample_000095,0.1782120019197464
sample_000096,0.45866599678993225
sample_000097,0.10642699897289276
sample_000098,0.14266300201416016
sample_000099,0.40126100182533264
sample_000100,0.6112459897994995
sample_000101,0.08409299701452255
sample_000102,0.39260798692703247
sample_000103,0.5802260041236877
sample_000104,0.5007370114326477
sample_000105,0.6439149975776672
sample_000106,0.44424599409103394
sample_000107,0.24225999414920807
sample_000108,0.5369790196418762
sample_000109,0.5733680129051208
sample_000110,0.6595289707183838
sample_000111,0.4736109972000122
sample_000112,0.6728370189666748
sample_000113,0.6870059967041016
sample_000114,0.3951529860496521
sample_000115,0.5784800052642822
sample_000116,0.33630800247192383
sample_000117,0.5092669725418091
sample_000118,0.5164260268211365
sample_000119,0.30397000908851624
sample_000120,0.3635669946670532
sample_000121,0.5353109836578369
sample_000122,0.30542799830436707
sample_000123,0.1908929944038391
sample_000124,0.7070590257644653
sample_000125,0.4811510145664215
sample_000126,0.491349995136261
sample_000127,0.6179220080375671
sample_000128,0.7412930130958557
sample_000129,0.590054988861084
sample_000130,0.6095619797706604
sample_000131,0.8093129992485046
sample_000132,0.729433000087738
sample_000133,0.5996249914169312
sample_000134,0.6195930242538452
sample_000135,0.1284720003604889
sample_000136,0.7040849924087524
sample_000137,0.4248569905757904
sample_000138,0.8045309782028198
sample_000139,0.46466898918151855
sample_000140,0.238769993185997
sample_000141,0.17710299789905548
sample_000142,0.6518269777297974
sample_000143,0.7228890061378479
sample_000144,0.46011900901794434
sample_000145,0.5128620266914368
sample_000146,0.44105300307273865
sample_000147,0.19677799940109253
sample_000148,0.574284017086029
sample_000149,0.6777520179748535
sample_000150,0.40842199325561523
sample_000151,0.2652440071105957
sample_000152,0.44159701466560364
sample_000153,0.5787870287895203
sample_000154,0.2225950062274933
sample_000155,0.28341901302337646
sample_000156,0.44216299057006836
sample_000157,0.5235080122947693
sample_000158,0.36850500106811523
sample_000159,0.4680989980697632
sample_000160,0.5495449900627136
sample_000161,0.43825098872184753
sample_000162,0.960690975189209
sample_000163,0.3576219975948334
sample_000164,0.1427830010652542
sample_000165,0.20503400266170502
sample_000166,0.8117759823799133
sample_000167,0.421766996383667
sample_000168,0.6594330072402954
sample_000169,0.7367050051689148
sample_000170,0.2187879979610443
sample_000171,0.2464040070772171
sample_000172,0.30544498562812805
sample_000173,0.4508169889450073
sample_000174,0.7463060021400452
sample_000175,0.17704899609088898
sample_000176,0.6038399934768677
sample_000177,0.26543599367141724
sample_000178,0.18826699256896973
sample_000179,1.0823030471801758
sample_000180,0.23853400349617004
sample_000181,0.2814500033855438
sample_000182,0.4580709934234619
sample_000183,0.47148099541664124
sample_000184,0.29454898834228516
sample_000185,0.12204799801111221
sample_000186,0.3036690056324005
sample_000187,0.5690780282020569
sample_000188,0.22158099710941315
sample_000189,0.2547430098056793
sample_000190,0.23743300139904022
sample_000191,0.3961000144481659
sample_000192,0.5662919878959656
sample_000193,0.2792760133743286
sample_000194,0.8009030222892761
sample_000195,0.7483689785003662
sample_000196,0.4855650067329407
sample_000197,0.49581199884414673
sample_000198,0.2739729881286621
sample_000199,0.3242639899253845
sample_000200,0.16649000346660614
sample_000201,0.6144610047340393
sample_000202,0.5841109752655029
sample_000203,0.734470009803772
sample_000204,0.13035200536251068
sample_000205,0.2955639958381653
sample_000206,0.34615999460220337
sample_000207,0.168162003159523
sample_000208,0.22909300029277802
sample_000209,0.8418930172920227
sample_000210,0.1927729994058609
sample_000211,0.6604080200195312
sample_000212,0.687188982963562
sample_000213,0.36429399251937866
sample_000214,0.4236370027065277
sample_000215,0.8686839938163757
