sample_id,seed,action_mae
sample_000000,0,0.2900412380695343
sample_000007,0,0.17546124756336212
sample_000014,0,0.71772700548172
sample_000022,0,0.5422016382217407
sample_000029,0,0.8079380393028259
sample_000037,0,0.6154583692550659
sample_000044,0,0.3020770847797394
sample_000051,0,0.2902107238769531
sample_000059,0,0.7448884844779968
sample_000066,0,0.24214987456798553
sample_000074,0,0.7537589073181152
sample_000081,0,0.3997594118118286
sample_000088,0,0.4785292148590088
sample_000096,0,0.2955057919025421
sample_000103,0,0.7745248675346375
sample_000111,0,0.23585174977779388
sample_000118,0,0.47976723313331604
sample_000126,0,0.9482080340385437
sample_000133,0,0.8143021464347839
sample_000140,0,0.5945551991462708
sample_000148,0,0.45764660835266113
sample_000155,0,0.5571847558021545
sample_000163,0,0.8532178401947021
sample_000170,0,0.8331210017204285
sample_000177,0,0.8380293846130371
sample_000185,0,0.9450133442878723
sample_000192,0,0.4588810205459595
sample_000200,0,0.8698287010192871
sample_000207,0,0.8399050831794739
sample_000215,0,0.7527799606323242
sample_000000,1,0.2654436230659485
sample_000007,1,0.3864041566848755
sample_000014,1,0.8178935050964355
sample_000022,1,0.4524909257888794
sample_000029,1,0.8187493681907654
sample_000037,1,0.5264645218849182
sample_000044,1,0.34989580512046814
sample_000051,1,0.18331120908260345
sample_000059,1,0.7551596760749817
sample_000066,1,0.36386093497276306
sample_000074,1,0.709712564945221
sample_000081,1,0.2852305769920349
sample_000088,1,0.4803401529788971
sample_000096,1,0.3953624963760376
sample_000103,1,0.6995341777801514
sample_000111,1,0.4170180857181549
sample_000118,1,0.6511907577514648
sample_000126,1,0.879370391368866
sample_000133,1,0.9327335953712463
sample_000140,1,0.25929075479507446
sample_000148,1,0.5898461937904358
sample_000155,1,0.5965179800987244
sample_000163,1,0.9541837573051453
sample_000170,1,0.774573802947998
sample_000177,1,1.0303224325180054
sample_000185,1,1.1407417058944702
sample_000192,1,0.469553142786026
sample_000200,1,0.7485949993133545
sample_000207,1,0.8019593358039856
sample_000215,1,0.548485517501831
sample_000000,2,0.28582191467285156
sample_000007,2,0.35124778747558594
sample_000014,2,0.8479549288749695
sample_000022,2,0.6242280602455139
sample_000029,2,0.7883281707763672
sample_000037,2,0.5857445597648621
sample_000044,2,0.25615403056144714
sample_000051,2,0.2089022845029831
sample_000059,2,0.6597384810447693
sample_000066,2,0.314198762178421
sample_000074,2,0.7870018482208252
sample_000081,2,0.24818630516529083
sample_000088,2,0.7032990455627441
sample_000096,2,0.39773714542388916
sample_000103,2,0.6030246615409851
sample_000111,2,0.4492208957672119
sample_000118,2,0.5209572911262512
sample_000126,2,0.9155822396278381
sample_000133,2,0.8335726261138916
sample_000140,2,0.26785531640052795
sample_000148,2,0.3586543798446655
sample_000155,2,1.0366145372390747
sample_000163,2,0.47527799010276794
sample_000170,2,0.7482522130012512
sample_000177,2,0.9473795890808105
sample_000185,2,1.035577416419983
sample_000192,2,0.8742905259132385
sample_000200,2,0.7623030543327332
sample_000207,2,0.868869960308075
sample_000215,2,0.5211166739463806
sample_000000,3,0.29844388365745544
sample_000007,3,0.3100450336933136
sample_000014,3,0.505397379398346
sample_000022,3,0.1983947902917862
sample_000029,3,0.6341457962989807
sample_000037,3,0.5132458209991455
sample_000044,3,0.44250139594078064
sample_000051,3,0.11348894983530045
sample_000059,3,0.9786776900291443
sample_000066,3,0.37182822823524475
sample_000074,3,0.7171861529350281
sample_000081,3,0.35287532210350037
sample_000088,3,0.7078819274902344
sample_000096,3,0.4302864372730255
sample_000103,3,0.5890510678291321
sample_000111,3,0.2865745723247528
sample_000118,3,0.7024405598640442
sample_000126,3,0.72629714012146
sample_000133,3,0.7872991561889648
sample_000140,3,0.21682332456111908
sample_000148,3,0.4309190511703491
