bin,n,sharp_ratio,sharp_f0,sharp_f15,action,dino_pf,video,total_pf
A,18,0.6890444148590782,519.4899737129815,262.72477093383947,1.1378755072752635,0.5724250315108739,0.2126172339078274,0.6906628825357157
B,18,0.566568111075596,577.4867481258332,299.41254937488577,1.1263355314731598,0.5836582980392615,0.20719227902754744,0.6877893857093066
